Frequency,ID,Iteration,Threshold,Yes/No,Perceived
55,P1,40,70.62707332,,True
70,P1,48,75.08109148,,True
90,P2,2,84.32308152,,True
85,P2,3,75.14269433,,True
85,P3,2,71.57168834,,True
90,P3,28,77.50860211,,True
95,P3,40,75.51552965,,True
85,P4,15,78.34272445,,True
95,P4,17,78.69552269,,True
95,P4,18,78.69568488,,True
90,P4,20,76.1549447,,True
80,P4,43,74.20763048,,True
95,P5,31,78.70446718,,True
90,P5,32,82.71130482,,True
85,P8,20,84.32686337,,True
80,P8,49,84.32283525,,True
10,P9,40,71.38611029,,True
20,P9,45,78.85530849999999,,True
80,P9,46,79.91016204,,True
65,P10,32,73.85984775,,True
70,P10,36,80.09632067,,True
85,P10,44,84.34494958,,True
65,P10,48,84.33339861,,True
80,P12,14,84.30864202,,True
85,P12,15,70.62674687,,True
75,P12,30,71.59133847,,True
85,P12,48,84.31301463,,True
30,P17,14,70.00000116,1.0,True
5,P19,23,70.00000116,1.0,True
5,P21,42,70.00000116,1.0,True
20,P26,31,70.00000116,1.0,True
5,P26,40,70.00000116,1.0,True
5,P27,39,70.00000116,1.0,True
5,P28,36,70.00000116,1.0,True
60,P30,32,70.00000116,1.0,True
5,P31,11,70.00000116,1.0,True
5,P33,2,70.00000116,1.0,True
5,P36,18,70.00000116,1.0,True
10,P36,43,70.00000116,1.0,True
5,P37,19,70.00000116,1.0,True
5,P38,16,70.00000116,1.0,True
10,P39,5,70.00000116,1.0,True
55,P39,9,70.00000116,1.0,True
30,P39,17,70.00000116,1.0,True
15,P39,25,70.00000116,1.0,True
45,P39,37,70.00000116,1.0,True
60,P39,38,70.00000116,1.0,True
50,P39,39,70.00000116,1.0,True
15,P39,46,70.00000116,1.0,True
20,P39,49,70.00000116,1.0,True
60,P39,50,70.00000116,1.0,True
5,P42,45,70.00000116,1.0,True
5,P47,13,70.00000116,1.0,True
5,P49,23,70.00000116,1.0,True
10,P58,11,70.00000116,1.0,True
50,P58,49,70.00000116,1.0,True
